code,name,nature,requires_third_party,is_withholding,dian_concept
310505,CAPITAL AUTORIZADO,Crédito,false,false,
3115,APORTES SOCIALES,Crédito,false,false,
311505,CUOTAS O PARTES DE INTERES SOCIAL,Crédito,false,false,
33,RESERVAS,Crédito,false,false,
3305,RESERVAS OBLIGATORIAS,Crédito,false,false,
330505,RESERVA LEGAL,Crédito,false,false,
36,RESULTADOS DEL EJERCICIO,Crédito,false,false,
3605,UTILIDAD DEL EJERCICIO,Crédito,false,false,
3610,PERDIDA DEL EJERCICIO,Debito,false,false,
37,RESULTADOS DE EJERCICIOS ANTERIORES,Crédito,false,false,
3705,UTILIDADES ACUMULADAS,Crédito,false,false,
3710,PERDIDAS ACUMULADAS,Debito,false,false,
4,INGRESOS,Crédito,false,false,
41,OPERACIONALES,Crédito,false,false,
4135,COMERCIO AL POR MAYOR Y AL POR MENOR,Crédito,false,false,
413505,VENTA DE MERCANCIAS,Crédito,false,false,
4175,DEVOLUCIONES EN VENTAS,Debito,false,false,
417505,DEVOLUCIONES EN VENTAS,Debito,false,false,
42,NO OPERACIONALES,Crédito,false,false,
4210,FINANCIEROS,Crédito,false,false,
421005,INTERESES,Crédito,false,false,
4295,DIVERSOS,Crédito,false,false,
429505,APROVECHAMIENTOS,Crédito,false,false,
5,GASTOS,Debito,false,false,
51,OPERACIONALES DE ADMINISTRACION,Debito,false,false,
5105,GASTOS DE PERSONAL,Debito,false,false,
510506,SUELDOS,Debito,true,false,5001
510527,AUXILIO DE TRANSPORTE,Debito,true,false,5001
5110,HONORARIOS,Debito,false,false,
511025,ASESORIA JURIDICA,Debito,true,false,5002
511035,ASESORIA TECNICA,Debito,true,false,5002
5115,IMPUESTOS,Debito,false,false,
511505,INDUSTRIA Y COMERCIO,Debito,false,false,
5120,ARRENDAMIENTOS,Debito,false,false,
512010,CONSTRUCCIONES Y EDIFICACIONES,Debito,true,false,5005
5135,SERVICIOS,Debito,false,false,
513525,ACUEDUCTO Y ALCANTARILLADO,Debito,true,false,5004
513530,ENERGIA ELECTRICA,Debito,true,false,5004
513535,TELEFONO,Debito,true,false,5004
5140,GASTOS LEGALES,Debito,false,false,
514005,NOTARIALES,Debito,true,false,5004
5145,MANTENIMIENTO Y REPARACIONES,Debito,false,false,
514510,CONSTRUCCIONES Y EDIFICACIONES,Debito,true,false,5004
5195,DIVERSOS,Debito,false,false,
519530,ELEMENTOS DE ASEO Y CAFETERIA,Debito,true,false,5007
519535,"UTILES, PAPELERIA Y FOTOCOPIAS",Debito,true,false,5007
52,OPERACIONALES DE VENTAS,Debito,false,false,
5205,GASTOS DE PERSONAL,Debito,false,false,
520506,SUELDOS,Debito,true,false,5001
5235,SERVICIOS,Debito,false,false,
523535,TELEFONO,Debito,true,false,5004
53,NO OPERACIONALES,Debito,false,false,
5305,FINANCIEROS,Debito,false,false,
530505,GASTOS BANCARIOS,Debito,true,false,5006
530520,INTERESES,Debito,true,false,5006
54,IMPUESTO DE RENTA Y COMPLEMENTARIOS,Debito,false,false,
5405,IMPUESTO DE RENTA Y COMPLEMENTARIOS,Debito,false,false,
59,GANANCIAS Y PERDIDAS,Debito,false,false,
5905,GANANCIAS Y PERDIDAS,Debito,false,false,
6,COSTOS DE VENTAS,Debito,false,false,
61,COSTO DE VENTAS Y DE PRESTACION DE SERVICIOS,Debito,false,false,
6135,COMERCIO AL POR MAYOR Y AL POR MENOR,Debito,false,false,
613505,COSTO DE MERCANCIAS VENDIDAS,Debito,false,false,
62,COMPRAS,Debito,false,false,
6205,DE MERCANCIAS,Debito,false,false,
620505,COMPRAS DE MERCANCIAS,Debito,true,false,5007
